slug,article_url,youtube_url,status,reason
activecampaign,https://smileaireviewhub.com/activecampaign/,https://youtu.be/4ia6nISbSBg,already_exists,render_status already has this YouTube URL; verified in site_output
adcreative-ai,https://smileaireviewhub.com/adcreative-ai/,https://youtu.be/sApDb4lRSfU,already_exists,render_status already has this YouTube URL; verified in site_output
ahrefs-ai,https://smileaireviewhub.com/ahrefs-ai/,https://youtu.be/FWVquUxDQZw,already_exists,render_status already has this YouTube URL; verified in site_output
ai-assistant-software-comparison,https://smileaireviewhub.com/ai-assistant-software-comparison/,https://youtu.be/fNU6TrW-Q80,already_exists,render_status already has this YouTube URL; verified in site_output
ai-coding-software-comparison,https://smileaireviewhub.com/ai-coding-software-comparison/,https://youtu.be/GDf1SSJgHdU,already_exists,render_status already has this YouTube URL; verified in site_output
ai-design-software-review,https://smileaireviewhub.com/ai-design-software-review/,https://youtu.be/IuSdh53LcnY,already_exists,render_status already has this YouTube URL; verified in site_output
ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows,https://smileaireviewhub.com/ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows/,https://youtu.be/-n1G1D0lu3c,already_exists,render_status already has this YouTube URL; verified in site_output
ai-video-software-review,https://smileaireviewhub.com/ai-video-software-review/,https://youtu.be/CZWl_XlhocE,already_exists,render_status already has this YouTube URL; verified in site_output
ai-writing-software-review,https://smileaireviewhub.com/ai-writing-software-review/,https://youtu.be/R41hZbqShE8,already_exists,render_status already has this YouTube URL; verified in site_output
aisuite-review-2026,https://smileaireviewhub.com/aisuite-review-2026/,https://youtu.be/70sCPqA-gVg,already_exists,render_status already has this YouTube URL; verified in site_output
automation-software-comparison,https://smileaireviewhub.com/automation-software-comparison/,https://youtu.be/UqwnXWS4YfU,already_exists,render_status already has this YouTube URL; verified in site_output
best-affiliate-marketing-software-saas,https://smileaireviewhub.com/best-affiliate-marketing-software-saas/,https://youtu.be/Z9oAuAv52XE,already_exists,render_status already has this YouTube URL; verified in site_output
best-ai-assistant-software,https://smileaireviewhub.com/best-ai-assistant-software/,https://youtu.be/mjIXscKl_SU,already_exists,render_status already has this YouTube URL; verified in site_output
best-ai-seo-tools-2026,https://smileaireviewhub.com/best-ai-seo-tools-2026/,https://youtu.be/FdGtpFc6TNw,already_exists,render_status already has this YouTube URL; verified in site_output
best-ai-website-builders-compared,https://smileaireviewhub.com/best-ai-website-builders-compared/,https://youtu.be/U2gDFVe9sOc,already_exists,render_status already has this YouTube URL; verified in site_output
best-website-builder-2026,https://smileaireviewhub.com/best-website-builder-2026/,https://youtu.be/QsFqthZkMHk,already_exists,render_status already has this YouTube URL; verified in site_output
bolt,https://smileaireviewhub.com/bolt/,https://youtu.be/yKOiyUzy4dQ,already_exists,render_status already has this YouTube URL; verified in site_output
canva,https://smileaireviewhub.com/canva/,https://youtu.be/VnxJuNoxdjo,already_exists,render_status already has this YouTube URL; verified in site_output
category-ai-coding-tools,https://smileaireviewhub.com/category/ai-coding-tools/,https://youtu.be/vD79FNFPCQ8,already_exists,render_status already has this YouTube URL; verified in site_output
category-automation-tools,https://smileaireviewhub.com/category/automation-tools/,https://youtu.be/2QabFBcmtzs,already_exists,render_status already has this YouTube URL; verified in site_output
category-design-tools,https://smileaireviewhub.com/category/design-tools/,https://youtu.be/kpjGbrZ2a0k,already_exists,render_status already has this YouTube URL; verified in site_output
category-email-marketing-tools,https://smileaireviewhub.com/category/email-marketing-tools/,https://youtu.be/ILaxA7lPnJA,already_exists,render_status already has this YouTube URL; verified in site_output
category-seo-tools,https://smileaireviewhub.com/category/seo-tools/,https://youtu.be/epK7Od07-aQ,already_exists,render_status already has this YouTube URL; verified in site_output
category-video-tools,https://smileaireviewhub.com/category/video-tools/,https://youtu.be/m9OiJYacUIM,already_exists,render_status already has this YouTube URL; verified in site_output
