page_url,page_type,title,meta_description_status,title_status,canonical_status,hreflang_status,internal_links_count,cta_links_count,cta_links,sitemap_included
https://smileaireviewhub.com/about/,static,About MS Smile AI Review Hub - MS Smile AI Review Hub,ok,ok,ok,ok,14,0,,yes
https://smileaireviewhub.com/about-author/,static,About Author - MS Smile AI Review Hub,ok,ok,ok,ok,48,0,,yes
https://smileaireviewhub.com/activecampaign/,static,"ActiveCampaign Review: Features, Pros, Cons, Pricing Notes",ok,ok,ok,ok,40,1,/go/activecampaign/?src=/activecampaign/&amp;cta=official_site,yes
https://smileaireviewhub.com/adcreative-ai/,static,"AdCreative AI Review: Features, Pros, Cons, Pricing Notes",ok,ok,ok,ok,41,1,/go/adcreative-ai/?src=/adcreative-ai/&amp;cta=official_site,yes
https://smileaireviewhub.com/aeo-action-plan/,static,AEO Action Plan - MS Smile AI Review Hub,ok,ok,ok,ok,48,0,,yes
https://smileaireviewhub.com/affiliate-disclosure/,static,Affiliate Disclosure - MS Smile AI Review Hub,ok,ok,ok,ok,14,0,,yes
https://smileaireviewhub.com/ahrefs-ai/,static,"Ahrefs AI Review: Features, Pros, Cons, Pricing Notes",ok,ok,ok,ok,50,1,/go/ahrefs/?src=/ahrefs-ai/&amp;cta=official_site,yes
https://smileaireviewhub.com/ai-app-builder-alternatives/,static,Best AI App Builder Alternatives for 2026 - MS Smile AI Review Hub,ok,ok,ok,ok,55,5,/go/activecampaign/?src=/ai-app-builder-alternatives/&cta=priority_page | /go/elevenlabs/?src=/ai-app-builder-alternatives/&cta=priority_page | /go/github-copilot/?src=/ai-app-builder-alternatives/&cta=priority_page | /go/semrush/?src=/ai-app-builder-alternatives/&cta=priority_page | /go/surfer-seo/?src=/ai-app-builder-alternatives/&cta=priority_page,yes
https://smileaireviewhub.com/ai-app-builder-software-review/,review,AI App Builder Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,ok,ok,ok,ok,56,5,/go/activecampaign/?src=/ai-app-builder-software-review/&cta=priority_page | /go/elevenlabs/?src=/ai-app-builder-software-review/&cta=priority_page | /go/github-copilot/?src=/ai-app-builder-software-review/&cta=priority_page | /go/semrush/?src=/ai-app-builder-software-review/&cta=priority_page | /go/surfer-seo/?src=/ai-app-builder-software-review/&cta=priority_page,yes
https://smileaireviewhub.com/ai-assistant-alternatives/,static,Best AI Assistant Alternatives for 2026 - MS Smile AI Review Hub,ok,ok,ok,ok,55,5,/go/activecampaign/?src=/ai-assistant-alternatives/&cta=priority_page | /go/elevenlabs/?src=/ai-assistant-alternatives/&cta=priority_page | /go/github-copilot/?src=/ai-assistant-alternatives/&cta=priority_page | /go/semrush/?src=/ai-assistant-alternatives/&cta=priority_page | /go/surfer-seo/?src=/ai-assistant-alternatives/&cta=priority_page,yes
