run_timestamp,topic,slug,article_type,status,markdown_path,json_path,word_count,youtube_embed_position,error
2026-06-30T14:10:02,Free For Dev Review Pricing 2026,free-for-dev-review-pricing-2026,pricing,published_source,D:\AFFILATE BOT\draft_output\articles\free-for-dev-review-pricing-2026.md,D:\AFFILATE BOT\draft_output\articles\free-for-dev-review-pricing-2026.json,1536,After introduction or before pricing section,
2026-06-30T14:10:02,AI Berkshire Review Alternatives 2026,ai-berkshire-review-alternatives-2026,alternatives,published_source,D:\AFFILATE BOT\draft_output\articles\ai-berkshire-review-alternatives-2026.md,D:\AFFILATE BOT\draft_output\articles\ai-berkshire-review-alternatives-2026.json,1516,After introduction or before pricing section,
2026-06-30T14:10:02,Agency Agents Review Comparison 2026,agency-agents-review-comparison-2026,comparison,published_source,D:\AFFILATE BOT\draft_output\articles\agency-agents-review-comparison-2026.md,D:\AFFILATE BOT\draft_output\articles\agency-agents-review-comparison-2026.json,1516,After introduction or before pricing section,
2026-06-30T14:10:02,Logto Review Tutorial 2026,logto-review-tutorial-2026,tutorial,published_source,D:\AFFILATE BOT\draft_output\articles\logto-review-tutorial-2026.md,D:\AFFILATE BOT\draft_output\articles\logto-review-tutorial-2026.json,1496,After introduction or before pricing section,
2026-06-30T14:10:02,Vulnclaw Review FAQ 2026,vulnclaw-review-faq-2026,faq,published_source,D:\AFFILATE BOT\draft_output\articles\vulnclaw-review-faq-2026.md,D:\AFFILATE BOT\draft_output\articles\vulnclaw-review-faq-2026.json,1496,After introduction or before pricing section,
2026-06-30T14:10:03,Council Of High Intelligence Review Pricing 2026,council-of-high-intelligence-review-pricing-2026,pricing,published_source,D:\AFFILATE BOT\draft_output\articles\council-of-high-intelligence-review-pricing-2026.md,D:\AFFILATE BOT\draft_output\articles\council-of-high-intelligence-review-pricing-2026.json,1556,After introduction or before pricing section,
2026-06-30T14:10:03,Cupy Review Alternatives 2026,cupy-review-alternatives-2026,alternatives,published_source,D:\AFFILATE BOT\draft_output\articles\cupy-review-alternatives-2026.md,D:\AFFILATE BOT\draft_output\articles\cupy-review-alternatives-2026.json,1496,After introduction or before pricing section,
2026-06-30T14:10:03,Best AI Search Software Comparison 2026,best-ai-search-software-comparison-2026,comparison,published_source,D:\AFFILATE BOT\draft_output\articles\best-ai-search-software-comparison-2026.md,D:\AFFILATE BOT\draft_output\articles\best-ai-search-software-comparison-2026.json,1536,After introduction or before pricing section,
2026-06-30T14:10:03,"Tavant Debuts Agentic AI Platform For Software Engineering, Automation Tutorial 2026",tavant-debuts-agentic-ai-platform-for-software-engineering-automation-tutorial-2026,tutorial,published_source,D:\AFFILATE BOT\draft_output\articles\tavant-debuts-agentic-ai-platform-for-software-engineering-automation-tutorial-2026.md,D:\AFFILATE BOT\draft_output\articles\tavant-debuts-agentic-ai-platform-for-software-engineering-automation-tutorial-2026.json,1628,After introduction or before pricing section,
2026-06-30T14:10:03,Affordable AI Search Platform FAQ 2026,affordable-ai-search-platform-faq-2026,faq,published_source,D:\AFFILATE BOT\draft_output\articles\affordable-ai-search-platform-faq-2026.md,D:\AFFILATE BOT\draft_output\articles\affordable-ai-search-platform-faq-2026.json,1536,After introduction or before pricing section,
