severity,url,issue,detail
warning,https://smileaireviewhub.com/activecampaign/,duplicate_title,https://smileaireviewhub.com/activecampaign/ | https://smileaireviewhub.com/reviews/activecampaign/
warning,https://smileaireviewhub.com/adcreative-ai/,duplicate_title,https://smileaireviewhub.com/adcreative-ai/ | https://smileaireviewhub.com/reviews/adcreative-ai/
warning,https://smileaireviewhub.com/aeo-action-plan/,duplicate_title,https://smileaireviewhub.com/aeo-action-plan/ | https://smileaireviewhub.com/vi/aeo-action-plan/
warning,https://smileaireviewhub.com/ahrefs-ai/,duplicate_title,https://smileaireviewhub.com/ahrefs-ai/ | https://smileaireviewhub.com/reviews/ahrefs-ai/
warning,https://smileaireviewhub.com/best-ai-presentation-tools/,duplicate_title,https://smileaireviewhub.com/best-ai-presentation-tools/ | https://smileaireviewhub.com/blog/best-ai-presentation-tools/
warning,https://smileaireviewhub.com/blog/,duplicate_title,https://smileaireviewhub.com/blog/ | https://smileaireviewhub.com/vi/blog/
warning,https://smileaireviewhub.com/bolt/,duplicate_title,https://smileaireviewhub.com/bolt/ | https://smileaireviewhub.com/reviews/bolt/
warning,https://smileaireviewhub.com/canva/,duplicate_title,https://smileaireviewhub.com/canva/ | https://smileaireviewhub.com/reviews/canva/
warning,https://smileaireviewhub.com/chatgpt/,duplicate_title,https://smileaireviewhub.com/chatgpt/ | https://smileaireviewhub.com/reviews/chatgpt/
warning,https://smileaireviewhub.com/claude/,duplicate_title,https://smileaireviewhub.com/claude/ | https://smileaireviewhub.com/reviews/claude/
warning,https://smileaireviewhub.com/copy-ai/,duplicate_title,https://smileaireviewhub.com/copy-ai/ | https://smileaireviewhub.com/reviews/copy-ai/
warning,https://smileaireviewhub.com/cursor/,duplicate_title,https://smileaireviewhub.com/cursor/ | https://smileaireviewhub.com/reviews/cursor/
warning,https://smileaireviewhub.com/cursor-ai-review-a-practical-guide-for-developers-and-ai-coders/,duplicate_title,https://smileaireviewhub.com/cursor-ai-review-a-practical-guide-for-developers-and-ai-coders/ | https://smileaireviewhub.com/reviews/cursor-ai-review-a-practical-guide-for-developers-and-ai-coders/
warning,https://smileaireviewhub.com/descript/,duplicate_title,https://smileaireviewhub.com/descript/ | https://smileaireviewhub.com/reviews/descript/
warning,https://smileaireviewhub.com/durable/,duplicate_title,https://smileaireviewhub.com/durable/ | https://smileaireviewhub.com/reviews/durable/
